effective_time,server,transfer
0.002262150985188782,2.5180052034556866e-06,0.0022596329799853265
0.0031933499849401414,2.27498821914196e-06,0.0031910749967209995
0.0010187879961449653,1.4100223779678345e-06,0.0010173779737669975
0.0013326219923328608,1.155975041911006e-06,0.0013314660172909498
0.0009540820028632879,1.3429962564259768e-06,0.000952739006606862
0.0013052110152784735,1.241976860910654e-06,0.0013039690384175628
0.0040734240028541535,1.1959928087890148e-06,0.0040722280100453645
0.013839923980413005,1.7639831639826298e-06,0.013838159997249022
0.004668704990763217,1.6459962353110313e-06,0.004667058994527906
0.0012712570023722947,1.5669793356209993e-06,0.0012696900230366737
0.0008697160228621215,1.261010766029358e-06,0.0008684550120960921
0.0008501299889758229,1.1890078894793987e-06,0.0008489409810863435
0.003267641004640609,1.3459939509630203e-06,0.003266295010689646
0.020213957992382348,2.254004357382655e-06,0.020211703988024965
0.03202188599971123,2.2529857233166695e-06,0.032019633013987914
0.001781277998816222,2.2560125216841698e-06,0.0017790219862945378
0.0009997259767260402,1.574982888996601e-06,0.0009981509938370436
0.0015720199735369533,1.2720120139420033e-06,0.0015707479615230113
0.0023059390077833086,1.2370001059025526e-06,0.002304702007677406
0.0018502419989090413,1.414999132975936e-06,0.0018488269997760653
0.0046304620045702904,1.2259988579899073e-06,0.0046292360057123005
0.004138762014918029,0.0001994769845623523,0.003939285030355677
0.01775870900019072,2.2989988792687654e-06,0.01775641000131145
0.05196851599612273,1.6099947970360518e-06,0.0519669060013257
0.017902157007483765,2.015003701671958e-06,0.017900142003782094
0.02824206100194715,2.3450120352208614e-06,0.02823971598991193
0.02467926498502493,2.3590109776705503e-06,0.02467690597404726
0.017944332998013124,1.8250138964504004e-06,0.017942507984116673
0.024229843984358013,1.7120037227869034e-06,0.024228131980635226
0.03706842500832863,2.5389890652149916e-06,0.037065886019263417
0.03257572097936645,2.1649757400155067e-06,0.032573556003626436
0.043116077984450385,2.3609900381416082e-06,0.04311371699441224
0.04395236700656824,2.8279901016503572e-06,0.04394953901646659
0.028131764993304387,2.4590117391198874e-06,0.028129305981565267
0.027921811008127406,2.500019036233425e-06,0.027919310989091173
0.016935713996645063,2.4979817681014538e-06,0.01693321601487696
0.008105861983494833,1.7540005501359701e-06,0.008104107982944697
0.013814933015964925,1.6799895092844963e-06,0.01381325302645564
0.02945460201590322,1.8319988157600164e-06,0.02945277001708746
0.02464355100528337,1.869979314506054e-06,0.024641681025968865
0.008424806001130491,1.5520199667662382e-06,0.008423253981163725
0.010055810009362176,1.9529834389686584e-06,0.010053857025923207
0.0018560690223239362,1.5969853848218918e-06,0.0018544720369391143
0.04360538598848507,1.768989022821188e-06,0.04360361699946225
0.027435142023023218,2.1269952412694693e-06,0.02743301502778195
0.0243855070148129,2.1769956219941378e-06,0.024383330019190907
0.019661221012938768,2.4129985831677914e-06,0.0196588080143556
0.0028820449952036142,1.834006980061531e-06,0.0028802109882235527
0.005445552000310272,1.6739941202104092e-06,0.005443878006190062
0.002122163015883416,2.273998688906431e-06,0.0021198890171945095
0.004637798003386706,1.8430000636726618e-06,0.0046359550033230335
0.0007964610122144222,1.334003172814846e-06,0.0007951270090416074
0.022290267021162435,1.5510013327002525e-06,0.022288716019829735
0.04464309601462446,2.3719912860542536e-06,0.04464072402333841
0.024169283016817644,2.0840088836848736e-06,0.02416719900793396
0.023295621009310707,1.7709971871227026e-06,0.023293850012123585
0.019511570979375392,2.201006282120943e-06,0.01950936997309327
0.013471386017045006,1.6849953681230545e-06,0.013469701021676883
0.029028557997662574,2.0769948605448008e-06,0.02902648100280203
0.0034368379856459796,2.3589818738400936e-06,0.0034344790037721395
0.0028428340156096965,1.6169797163456678e-06,0.002841217035893351
0.0014169909991323948,1.5849946066737175e-06,0.001415406004525721
0.0016363220056518912,1.5900004655122757e-06,0.001634732005186379
0.0027497079863678664,1.6049889381974936e-06,0.002748102997429669
0.0009148599929176271,1.4980032574385405e-06,0.0009133619896601886
0.0009094609995372593,1.313019311055541e-06,0.0009081479802262038
