latency_s
1983344 nanoseconds
2566343 nanoseconds
1895251 nanoseconds
1229556 nanoseconds
1971110 nanoseconds
2692994 nanoseconds
2149476 nanoseconds
2292250 nanoseconds
2607467 nanoseconds
2360784 nanoseconds
3176740 nanoseconds
2300443 nanoseconds
3100224 nanoseconds
2325051 nanoseconds
2306546 nanoseconds
2786880 nanoseconds
1975852 nanoseconds
1705571 nanoseconds
2802139 nanoseconds
2206476 nanoseconds
1893812 nanoseconds
2597088 nanoseconds
2357622 nanoseconds
1663264 nanoseconds
2709457 nanoseconds
2624339 nanoseconds
2039223 nanoseconds
2022778 nanoseconds
2005239 nanoseconds
998041 nanoseconds
1948671 nanoseconds
2175214 nanoseconds
2769859 nanoseconds
4604216 nanoseconds
2181813 nanoseconds
1792995 nanoseconds
2057812 nanoseconds
1903065 nanoseconds
1112218 nanoseconds
2504509 nanoseconds
1362569 nanoseconds
1714035 nanoseconds
1942583 nanoseconds
2965979 nanoseconds
1340644 nanoseconds
1889771 nanoseconds
2147978 nanoseconds
1613318 nanoseconds
1630303 nanoseconds
1604593 nanoseconds
1571158 nanoseconds
2424145 nanoseconds
1683103 nanoseconds
2155367 nanoseconds
1198368 nanoseconds
1996438 nanoseconds
1745609 nanoseconds
1184592 nanoseconds
1829343 nanoseconds
1672150 nanoseconds
1828821 nanoseconds
1859748 nanoseconds
2490371 nanoseconds
2360276 nanoseconds
2104550 nanoseconds
1770814 nanoseconds
1729513 nanoseconds
1602353 nanoseconds
1627820 nanoseconds
1877122 nanoseconds
2225968 nanoseconds
1945725 nanoseconds
2343345 nanoseconds
2043159 nanoseconds
1504995 nanoseconds
1879989 nanoseconds
1493576 nanoseconds
2730392 nanoseconds
2352452 nanoseconds
2969781 nanoseconds
2082204 nanoseconds
3024976 nanoseconds
1751174 nanoseconds
2132483 nanoseconds
967945 nanoseconds
2797738 nanoseconds
2059255 nanoseconds
1920569 nanoseconds
2136854 nanoseconds
2050035 nanoseconds
1774262 nanoseconds
1840791 nanoseconds
1666785 nanoseconds
2464204 nanoseconds
2169837 nanoseconds
3715111 nanoseconds
2699091 nanoseconds
